Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.no.planer-hacking.json	9205	-	0	0	0	0	0	0	10	51	0	0	0	0	0	0	0	1	0	0	95	83	0	0	0	7	0	4
fsh-generated/resources/CarePlan-CarePlan-Oddfrid-Green-V2.json	673	4	0	0	1	0	0	0	1	351	0	0	0	0	0	0	0	0	0	0	10	20	0	0	0	0	0	0
fsh-generated/resources/CarePlan-CarePlan-Oddfrid-Red-V2.json	664	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0
fsh-generated/resources/CarePlan-CarePlan-Oddfrid-Yellow-V2.json	694	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/CarePlan-CarePlan-Oddfrid-Zones-V2.json	414	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/CarePlan-CarePlan-Oddfrid-Zones.json	639	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-planer-hacking-observation-severity-zone-cs.json	933	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	64	0	0	0	0	0	0
fsh-generated/resources/Condition-ZoneCondition-Green-Oddfrid-V2.json	692	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	23	9	0	0	0	0	0	0
fsh-generated/resources/Condition-ZoneCondition-Green-Oddfrid.json	763	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Condition-ZoneCondition-Red-Oddfrid-V2.json	689	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/Condition-ZoneCondition-Red-Oddfrid.json	757	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/Condition-ZoneCondition-Yellow-Oddfrid-V2.json	702	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/Condition-ZoneCondition-Yellow-Oddfrid.json	795	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Patient-Pasient-1.json	1172	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-planer-hacking-careplan.json	2458	1	0	42	0	0	0	0	0	79	0	0	0	0	0	0	0	1	0	0	174	1125	0	0	0	10	0	1
